邶: bihua=2113552, tonggui=2111552
坰: bihua=121251251, tonggui=12125251
俙: bihua=323413251, tonggui=323413252
舢: bihua=335414251, tonggui=335414252
铆: bihua=3111535351, tonggui=3111535352
涐: bihua=4413151534, tonggui=4413121534
谀: bihua=4531251134, tonggui=4532151134
萏: bihua=12235312511, tonggui=12235321511
彘: bihua=551311341535, tonggui=551153113435
蓐: bihua=1221311543124, tonggui=1221311534124
鹍: bihua=2511153535451, tonggui=2511151535451
塍: bihua=2511431134121, tonggui=3511431134121
鄜: bihua=4135221153552, tonggui=4135221151552
剿: bihua=5551511123422, tonggui=5552511123422
獒: bihua=11213531341344, tonggui=11215331341344
雌: bihua=21213532411121, tonggui=21211532411121
霈: bihua=145244444411251, tonggui=145244444411252
齑: bihua=413421112111132, tonggui=413432211121111
廨: bihua=4133525112533112, tonggui=4133535112533112
豳: bihua=13533342135333452, tonggui=21353334135333452
蹐: bihua=25121214133442511, tonggui=25121214134342511
镧: bihua=31115425125341234, tonggui=31115425125431234
麒: bihua=4135221153512211134, tonggui=4135221151512211134
酆: bihua=11122111252125143152, tonggui=21112111252125143152
巉: bihua=25234251153434251354, tonggui=25235251153535251354
囊: bihua=1251245251251112213524, tonggui=1251245251251112213534
鼷: bihua=32151154454453223554134, tonggui=32151154454453443554134
麟: bihua=41352211535431234354152, tonggui=41352211515431234354152
齉: bihua=325111251211321251245251251112213524, tonggui=325111251211321251245251251112213534
