汉字   | bihua.txt 笔顺         | 通规 笔顺                | 类型
------------------------------------------------------------
邶    | 2113552              | 2111552              | sequence
坰    | 121251251            | 12125251             | count
俙    | 323413251            | 323413252            | sequence
舢    | 335414251            | 335414252            | sequence
铆    | 3111535351           | 3111535352           | sequence
涐    | 4413151534           | 4413121534           | sequence
谀    | 4531251134           | 4532151134           | sequence
萏    | 12235312511          | 12235321511          | sequence
彘    | 551311341535         | 551153113435         | sequence
蓐    | 1221311543124        | 1221311534124        | sequence
鹍    | 2511153535451        | 2511151535451        | sequence
塍    | 2511431134121        | 3511431134121        | sequence
鄜    | 4135221153552        | 4135221151552        | sequence
剿    | 5551511123422        | 5552511123422        | sequence
獒    | 11213531341344       | 11215331341344       | sequence
雌    | 21213532411121       | 21211532411121       | sequence
霈    | 145244444411251      | 145244444411252      | sequence
齑    | 413421112111132      | 413432211121111      | sequence
廨    | 4133525112533112     | 4133535112533112     | sequence
豳    | 13533342135333452    | 21353334135333452    | sequence
蹐    | 25121214133442511    | 25121214134342511    | sequence
镧    | 31115425125341234    | 31115425125431234    | sequence
麒    | 4135221153512211134  | 4135221151512211134  | sequence
酆    | 11122111252125143152 | 21112111252125143152 | sequence
巉    | 25234251153434251354 | 25235251153535251354 | sequence
囊    | 1251245251251112213524 | 1251245251251112213534 | sequence
鼷    | 32151154454453223554134 | 32151154454453443554134 | sequence
麟    | 41352211535431234354152 | 41352211515431234354152 | sequence
齉    | 325111251211321251245251251112213524 | 325111251211321251245251251112213534 | sequence
