笔画对照说明: 1:横, 2:竖, 3:撇, 4:点, 5:折
汉字   | bihua.txt 笔顺                   | 通规8105 笔顺                     
--------------------------------------------------------------------------------
邶    | 2113552                        | 2111552                       
坰    | 121251251                      | 12125251                      
俙    | 323413251                      | 323413252                     
舢    | 335414251                      | 335414252                     
铆    | 3111535351                     | 3111535352                    
涐    | 4413151534                     | 4413121534                    
谀    | 4531251134                     | 4532151134                    
萏    | 12235312511                    | 12235321511                   
彘    | 551311341535                   | 551153113435                  
蓐    | 1221311543124                  | 1221311534124                 
鹍    | 2511153535451                  | 2511151535451                 
塍    | 2511431134121                  | 3511431134121                 
鄜    | 4135221153552                  | 4135221151552                 
剿    | 5551511123422                  | 5552511123422                 
獒    | 11213531341344                 | 11215331341344                
雌    | 21213532411121                 | 21211532411121                
霈    | 145244444411251                | 145244444411252               
齑    | 413421112111132                | 413432211121111               
廨    | 4133525112533112               | 4133535112533112              
豳    | 13533342135333452              | 21353334135333452             
蹐    | 25121214133442511              | 25121214134342511             
镧    | 31115425125341234              | 31115425125431234             
麒    | 4135221153512211134            | 4135221151512211134           
酆    | 11122111252125143152           | 21112111252125143152          
巉    | 25234251153434251354           | 25235251153535251354          
囊    | 1251245251251112213524         | 1251245251251112213534        
鼷    | 32151154454453223554134        | 32151154454453443554134       
麟    | 41352211535431234354152        | 41352211515431234354152       
齉    | 325111251211321251245251251112213524 | 325111251211321251245251251112213534
