a        | 啊  | Particle                       → Ahhh, Oh, Aha
a        | 阿  | Prefix                         → Atlas, Ayanda, Donga|donge
ai       | 爱  | Love                           → Zhang, Respect, Xiaoai
ai       | 艾  | Mugwort                        → Zhangaijia, Evie, Buenos
ai       | 唉  | Sigh                           → [无建议, 可用首字母: BEFIJOPQRTUVXYZ]
ai       | 挨  | Suffer                         → Beaten, Receive
ai       | 矮  | Low                            → [无建议, 可用首字母: BEFIJOPQRTUVXYZ]
ai       | 暧  | Warm                           → Illicit
ai       | 皑  | White                          → [无建议, 可用首字母: BEFIJOPQRTUVXYZ]
ai       | 霭  | Mist                           → Opulent, Evening
an       | 安  | Safe                           → Inquiry, Kailiannimosi, Lianquan
an       | 暗  | Dark                           → Implied, Thorough, Underground
an       | 黯  | Dim                            → Melancholy
an       | 鞍  | Saddle                         → Ma, Maanqiao, Huangang
an       | 氨  | Ammonia                        → Methyl, Glycine, Yrosine
an       | 胺  | Amine                          → Melamine, Thiamine, Glutamine
an       | 铵  | Ammonium                       → [无建议, 可用首字母: GHIJKLMOQRTUVXYZ]
ao       | 傲  | Proud                          → Arrogant, Lofty, Xiaoaojianghu
ao       | 熬  | Boil                           → Tormented
ao       | 敖  | Proud                          → Jiao, Aoleheshuobi, Liuao
ao       | 澳  | Bay                            → Dongao, Australia, Aomentequ
ao       | 凹  | Concave                        → Depression, Jia, Intaglio
ao       | 拗  | Stubborn                       → Difficult
ao       | 袄  | Coat                           → Leather
ao       | 翱  | Soar                           → Xieao
ao       | 螯  | Crab                           → [无建议, 可用首字母: ADEIJKLNOQTVXYZ]
ba       | 八  | Eight                          → Zhu, Octave, Nonsense
ba       | 爸  | Dad                            → [无建议, 可用首字母: AIJKLNOQRTUVWXYZ]
ba       | 巴  | Hope                           → Antigua, Khabarovsk, Zhukubatulu
ba       | 罢  | Stop                           → Resignation, Recall, Unable
ba       | 拔  | Extract                        → Like, Remove, Tall
ba       | 霸  | Hegemon                        → Imperial, World, Local
ba       | 疤  | Scar                           → [无建议, 可用首字母: AIJKLNOQRTUVWXYZ]
ba       | 跋  | March                          → Tuoba, Taiwudituobatao, Zhaochengdituobashiyijian
ba       | 扒  | Scratch                        → Naked
ba       | 叭  | Pop                            → Labakou, Trumpet
ba       | 芭  | Palm                           → [无建议, 可用首字母: AIJKLNOQRTUVWXYZ]
ba       | 靶  | Mark                           → Target, Off-target, Target
ba       | 坝  | Dam                            → Wanba, Xiaobacun, Terrace
ba       | 耙  | Harrow                         → [无建议, 可用首字母: AIJKLNOQRTUVWXYZ]
ba       | 鲅  | Mackerel                       → [无建议, 可用首字母: AIJKLNOQRTUVWXYZ]
bai      | 掰  | Break                          → Snap
bai      | 擘  | Break                          → Outline, Thumb
ban      | 半  | Half                           → Apennine, Upper, Zhuzhongbanbingwei
ban      | 班  | Class                          → Annibankeluofute, Luban, Night
ban      | 伴  | Partner                        → Accompanying, Accompany, Accompanied
ban      | 搬  | Carry                          → Applying, Freight
ban      | 扮  | Pretend                        → Role-playing, Attire, Adornment
ban      | 斑  | Spot                           → Goral, Flower, Without
