a        | 啊  | Particle                       → Oh                             (O)
a        | 阿  | Prefix                         → A                              (A)
ai       | 爱  | Love                           → To                             (T)
ai       | 矮  | Low                            → Too                            (T)
ai       | 艾  | Mugwort                        → To                             (T)
ai       | 霭  | Mist                           → Opulent                        (O)
ai       | 挨  | Suffer                         → To                             (T)
ai       | 暧  | Warm                           → Illicit                        (I)
an       | 安  | Safe                           → Hu                             (H)
an       | 鞍  | Saddle                         → Ma                             (M)
an       | 暗  | Dark                           → To                             (T)
an       | 黯  | Dim                            → Melancholy                     (M)
an       | 氨  | Ammonia                        → Liquid                         (L)
an       | 胺  | Amine                          → Thiamine                       (T)
ao       | 傲  | Proud                          → To                             (T)
ao       | 敖  | Proud                          → Liao                           (L)
ao       | 熬  | Boil                           → To                             (T)
ao       | 澳  | Bay                            → Qiao                           (Q)
ao       | 凹  | Concave                        → Jia                            (J)
ao       | 袄  | Coat                           → Leather                        (L)
ao       | 拗  | Stubborn                       → Difficult                      (D)
ao       | 翱  | Soar                           → Xieao                          (X)
ba       | 八  | Eight                          → To                             (T)
ba       | 拔  | Extract                        → To                             (T)
ba       | 坝  | Dam                            → Name                           (N)
ba       | 巴  | Hope                           → Nu                             (N)
ba       | 霸  | Hegemon                        → To                             (T)
ba       | 罢  | Stop                           → To                             (T)
ba       | 扒  | Scratch                        → Naked                          (N)
ba       | 跋  | March                          → To                             (T)
ba       | 靶  | Mark                           → Target                         (T)
ba       | 叭  | Pop                            → To                             (T)
bai      | 掰  | Break                          → Snap                           (S)
bai      | 擘  | Break                          → Thumb                          (T)
ban      | 半  | Half                           → One                            (O)
ban      | 绊  | Hinder                         → Obstacle                       (O)
ban      | 班  | Class                          → On                             (O)
ban      | 搬  | Carry                          → Freight                        (F)
ban      | 伴  | Partner                        → often                          (o)
ban      | 扮  | Pretend                        → Attire                         (A)
ban      | 瓣  | Petal                          → One                            (O)
ban      | 斑  | Spot                           → Full                           (F)
ban      | 阪  | Slope                          → Osaka                          (O)
ban      | 坂  | Slope                          → Youbanlihui                    (Y)
bang     | 膀  | Shoulder                       → Arm                            (A)
bang     | 邦  | State                          → Zhou                           (Z)
bang     | 棒  | Stick                          → Ice                            (I)
bang     | 梆  | Clapper                        → Gong                           (G)
bao      | 保  | Protect                        → No                             (N)
bao      | 剥  | Peel                           → Undress                        (U)
bao      | 褒  | Praise                         → Yinggelibaoman                 (Y)
bao      | 葆  | Preserve                       → Meibaojiu                      (M)
bao      | 报  | Repay                          → Not                            (N)
bao      | 炮  | Roast                          → Iron                           (I)
bao      | 包  | Wrap                           → ID                             (I)
bao      | 瀑  | Waterfall                      → Xiangshuiyupu                  (X)
bao      | 宝  | Treasure                       → Jia                            (J)
bao      | 薄  | Thin                           → Mint                           (M)
bao      | 抱  | Hug                            → Cry                            (C)
bao      | 爆  | Explode                        → Ignite                         (I)
bao      | 胞  | Embryo                         → Unit                           (U)
bao      | 堡  | Fortress                       → Great                          (G)
bao      | 饱  | Full                           → Overfed                        (O)
bao      | 褓  | Swaddle                        → Cradle                         (C)
bao      | 孢  | Spore                          → Cephalosporin                  (C)
bei      | 背  | Back                           → On                             (O)
bei      | 蓓  | Bud                            → Yebei                          (Y)
bei      | 杯  | Cup                            → In                             (I)
bei      | 悖  | Contrary                       → Paradox                        (P)
bei      | 辈  | Age                            → From                           (F)
bei      | 臂  | Arm                            → One                            (O)
bei      | 悲  | Sad                            → Xu                             (X)
bei      | 贝  | Shell                          → Lake                           (L)
bei      | 碑  | Stone                          → Large                          (L)
bei      | 陂  | Slope                          → Fishpond                       (F)
ben      | 本  | Root                           → To                             (T)
ben      | 奔  | Run                            → To                             (T)
bi       | 必  | Must                           → Law                            (L)
bi       | 币  | Money                          → Gold                           (G)
bi       | 毕  | Finish                         → Vulgar                         (V)
bi       | 逼  | Force                          → Lifelike                       (L)
bi       | 笔  | Pen                            → Last                           (L)
bi       | 吡  | Pyridine                       → Vitamin                        (V)
bi       | 避  | Avoid                          → Yield                          (Y)
bi       | 臂  | Arm                            → Left                           (L)
bi       | 弼  | Assist                         → Zhaobi                         (Z)
bi       | 陛  | Steps                          → Your                           (Y)
bi       | 庇  | Shelter                        → Luobosibier                    (L)
bi       | 秘  | Secret                         → United                         (U)
bi       | 泌  | Secrete                        → Urinary                        (U)
bi       | 鼻  | Nose                           → Lion                           (L)
bi       | 壁  | Wall                           → Labi                           (L)
bi       | 彼  | That                           → Knowing                        (K)
bi       | 碧  | Blue                           → Yībì                           (Y)
bi       | 毙  | Die                            → Killed                         (K)
bi       | 妣  | Deceased mother                → Xian                           (X)
bian     | 边  | Side                           → In                             (I)
bian     | 匾  | Sign                           → Plaque                         (P)
bian     | 砭  | Stone needle                   → Qinghuabi                      (Q)
bian     | 遍  | All                            → In                             (I)
bian     | 辩  | Argue                          → Master                         (M)
bian     | 编  | Weave                          → Hu                             (H)
bian     | 鞭  | Whip                           → Long                           (L)
bian     | 辨  | Distinguish                    → High                           (H)
bian     | 贬  | Degrade                        → Exile                          (E)
bian     | 汴  | Bian River                     → Xiangyuanbian                  (X)
biao     | 标  | Mark                           → To                             (T)
biao     | 裱  | Mount                          → Flower                         (F)
biao     | 骠  | Steed                          → Yellow                         (Y)
bin      | 彬  | Refined                        → Wubin                          (W)
bin      | 斌  | Refined                        → Li                             (L)
bin      | 摈  | Reject                         → Abandon                        (A)
bing     | 并  | And                            → no                             (n)
bing     | 兵  | Army                           → Fu                             (F)
bing     | 冰  | Ice                            → Lu                             (L)
bing     | 病  | Illness                        → Go                             (G)
bing     | 柄  | Stem                           → One                            (O)
bing     | 屏  | Screen                         → Yu                             (Y)
bo       | 波  | Ripple                         → Mi                             (M)
bo       | 驳  | Refute                         → Huleibo                        (H)
bo       | 博  | Profound                       → Zibo                           (Z)
bo       | 剥  | Peel                           → Exploit                        (E)
bo       | 拨  | Stir                           → Hebo                           (H)
bo       | 播  | Sow                            → mass                           (m)
bo       | 勃  | Sudden                         → Wang                           (W)
bo       | 帛  | Silk                           → Jade                           (J)
bo       | 菠  | Spinach                        → Large                          (L)
bo       | 搏  | Fight                          → Heart                          (H)
bo       | 钵  | Bowl                           → Mortar                         (M)
bo       | 渤  | Bohai                          → Huangbo                        (H)
bu       | 不  | No                             → At                             (A)
bu       | 簿  | Notebook                       → Books                          (B)
bu       | 哺  | Nurse                          → Zhou                           (Z)
bu       | 部  | Part                           → In                             (I)
bu       | 埠  | Port                           → To                             (T)
bu       | 布  | Cloth                          → At                             (A)
bu       | 捕  | Catch                          → To                             (T)
bu       | 怖  | Fear                           → Horrible                       (H)
bu       | 堡  | Fortress                       → Wubu                           (W)
cai      | 彩  | Color                          → Rosy                           (R)
cai      | 蔡  | Cai (surname)                  → Xiacai                         (X)
cai      | 裁  | Cut                            → Rule                           (R)
can      | 灿  | Bright                         → Lucan                          (L)
can      | 掺  | Blend                          → Add                            (A)
can      | 璨  | Bright                         → Anjuncan                       (A)
can      | 粲  | Bright                         → Liucan                         (L)
cang     | 藏  | Hide                           → To                             (T)
cang     | 舱  | Hold                           → Exit                           (E)
cang     | 苍  | Grey                           → Fly                            (F)
cang     | 仓  | Granary                        → To                             (T)
ceng     | 蹭  | Rub                            → To                             (T)
cha      | 叉  | Fork                           → Metal                          (M)
cha      | 岔  | Fork                           → Chahe                          (C)
cha      | 碴  | Fragment                       → Look                           (L)
cha      | 姹  | Beautiful                      → Vivid                          (V)
cha      | 汊  | Branch                         → River                          (R)
chai     | 拆  | Dismantle                      → To                             (T)
chai     | 差  | Difference                     → To                             (T)
chan     | 蟾  | Toad                           → Liubuchan                      (L)
chan     | 铲  | Spade                          → Iron                           (I)
chan     | 巉  | Steep                          → Precipitous                    (P)
chan     | 单  | Single                         → Odd                            (O)
chan     | 婵  | Beautiful                      → Ouyangchanjuan                 (O)
chan     | 潺  | Gurgle                         → Murmuring                      (M)
chang    | 场  | Field                          → Go                             (G)
chang    | 厂  | Factory                        → Gas                            (G)
chang    | 唱  | Sing                           → Duet                           (D)
chang    | 畅  | Smooth                         → Garden                         (G)
chang    | 敞  | Spacious                       → Bright                         (B)
chang    | 昌  | Prosperous                     → Ji                             (J)
chang    | 倡  | Promote                        → Advocate                       (A)
chang    | 偿  | Repay                          → Not                            (N)
chang    | 猖  | Rampant                        → Arrogant                       (A)
chao     | 朝  | Dynasty                        → In                             (I)
chao     | 巢  | Den                            → In                             (I)
chao     | 嘲  | Mock                           → Laugh                          (L)
chao     | 钞  | Money                          → US                             (U)
che      | 扯  | Pull                           → Grab                           (G)
che      | 掣  | Pull                           → Obstruction                    (O)
chen     | 沉  | Sink                           → Very                           (V)
chen     | 忱  | Sincere                        → Full                           (F)
chen     | 臣  | Minister                       → Zhou                           (Z)
chen     | 晨  | Morning                        → Chen                           (C)
chen     | 称  | Weigh                          → He                             (H)
chen     | 嗔  | Angry                          → Petulant                       (P)
cheng    | 成  | Succeed                        → If                             (I)
cheng    | 秤  | Scale                          → Electronic                     (E)
cheng    | 城  | City                           → Yé                             (Y)
cheng    | 澄  | Clear                          → Xucheng                        (X)
cheng    | 程  | Process                        → Main                           (M)
cheng    | 撑  | Prop                           → Vault                          (V)
cheng    | 呈  | Present                        → Emerging                       (E)
chi      | 持  | Hold                           → Can                            (C)
chi      | 痴  | Idiot                          → Crazy                          (C)
chi      | 敕  | Imperial order                 → 敕勒曲                            (敕)
chi      | 尺  | Unit                           → Meter                          (M)
chi      | 驰  | Speed                          → Gallop                         (G)
chi      | 耻  | Shame                          → Mock                           (M)
chi      | 叱  | Shout                          → Chilu                          (C)
chong    | 充  | Fill                           → To                             (T)
chong    | 宠  | Favor                          → To                             (T)
chong    | 重  | Important                      → To                             (T)
chong    | 虫  | Insect                         → To                             (T)
chou     | 抽  | Pull                           → To                             (T)
chou     | 筹  | Plan                           → To                             (T)
chou     | 臭  | Stinky                         → Bad                            (B)
chou     | 愁  | Sorrow                         → What                           (W)
chou     | 绸  | Silk                           → To                             (T)
chu      | 出  | Exit                           → Go                             (G)
chu      | 除  | Eliminate                      → Rust                           (R)
chu      | 处  | Place                          → Qí                             (Q)
chu      | 杵  | Pestle                         → Mortar                         (M)
chu      | 初  | First                          → At                             (A)
chu      | 触  | Feel                           → Analogy                        (A)
chu      | 怵  | Fear                           → With                           (W)
chu      | 储  | Save                           → Oil                            (O)
chu      | 褚  | Surname Chu                    → Xuchu|xuzhu                    (X)
chu      | 橱  | Cabinet                        → Window                         (W)
chu      | 雏  | Chick                          → Young                          (Y)
chu      | 锄  | Hoe                            → Jiangchuou                     (J)
chu      | 刍  | Hay                            → Jifuchu                        (J)
chuan    | 川  | River                          → Qin                            (Q)
chuan    | 椽  | Rafter                         → Eaves                          (E)
chuang   | 床  | Bed                            → In                             (I)
chuang   | 幢  | Building                       → One                            (O)
chuang   | 疮  | Sore                           → To                             (T)
chuang   | 怆  | Sad                            → Heartrending                   (H)
chui     | 吹  | Blow                           → To                             (T)
chui     | 锤  | Beat                           → Iron                           (I)
chui     | 捶  | Beat                           → To                             (T)
chui     | 垂  | Hang                           → To                             (T)
chui     | 槌  | Hammer                         → Wooden                         (W)
chun     | 春  | Spring                         → To                             (T)
chun     | 蠢  | Stupid                         → Fool                           (F)
chun     | 椿  | Spring                         → Yaochun                        (Y)
chun     | 纯  | Pure                           → Zhu                            (Z)
chun     | 淳  | Pure                           → Xia                            (X)
chun     | 醇  | Pure                           → Fine                           (F)
ci       | 此  | This                           → It                             (I)
ci       | 次  | Time                           → In                             (I)
ci       | 祠  | Temple                         → Jin                            (J)
ci       | 赐  | Grant                          → Happy                          (H)
ci       | 瓷  | China                          → Jun                            (J)
ci       | 雌  | Female                         → Pistil                         (P)
cong     | 从  | Follow                         → To                             (T)
cong     | 枞  | Fir                            → Larch                          (L)
cong     | 聪  | Clever                         → Zhang                          (Z)
cong     | 丛  | Cluster                        → In                             (I)
cu       | 醋  | Vinegar                        → Old                            (O)
cui      | 翠  | Green                          → Jade                           (J)
cui      | 萃  | Gather                         → Rich                           (R)
cuo      | 挫  | Frustrate                      → Bruise                         (B)
da       | 大  | Big                            → Yu                             (Y)
da       | 搭  | Build                          → Lay                            (L)
da       | 瘩  | Bump                           → Lump                           (L)
dai      | 带  | Belt                           → Film                           (F)
dai      | 袋  | Bag                            → In                             (I)
dai      | 黛  | Black                          → Adaier                         (A)
dai      | 歹  | Bad                            → Anyway                         (A)
dai      | 大  | Big                            → Yu                             (Y)
dai      | 待  | Wait                           → For                            (F)
dai      | 戴  | Wear                           → Put                            (P)
dai      | 殆  | Dangerous                      → Exhaust                        (E)
dai      | 岱  | Dai Mountain                   → Madai                          (M)
dan      | 淡  | Light                          → To                             (T)
dan      | 萏  | Lotus bud                      → Water                          (W)
dan      | 弹  | Bullet                         → To                             (T)
dan      | 诞  | Birth                          → Merry                          (M)
dan      | 蛋  | Egg                            → To                             (T)
dan      | 殚  | Exhaust                        → To                             (T)
dan      | 旦  | Dawn                           → Old                            (O)
dan      | 耽  | Delay                          → Waste                          (W)
dan      | 郸  | Dancheng (county)              → Zhaohandangucheng              (Z)
dan      | 儋  | Danzhou (city)                 → Yinshidan                      (Y)
dang     | 荡  | Swing                          → To                             (T)
dang     | 挡  | Stop                           → Gear                           (G)
dao      | 到  | Reach                          → To                             (T)
dao      | 盗  | Rob                            → The                            (T)
dao      | 稻  | Rice                           → To                             (T)
dao      | 祷  | Beg                            → Pray                           (P)
dao      | 捣  | Beat                           → To                             (T)
deng     | 凳  | Stool                          → Fang                           (F)
deng     | 镫  | Stirrup                        → Horse                          (H)
di       | 地  | Earth                          → On                             (O)
di       | 敌  | Enemy                          → Hostile                        (H)
di       | 第  | Rank                           → In                             (I)
di       | 抵  | Resist                         → Cannot                         (C)
di       | 荻  | Reed                           → Caodiqiu                       (C)
di       | 底  | Bottom                         → In                             (I)
di       | 棣  | Brother                        → Ko                             (K)
di       | 低  | Low                            → Not                            (N)
di       | 嫡  | Legitimate                     → Close                          (C)
di       | 帝  | God                            → Han                            (H)
di       | 迪  | Guide                          → Hadi                           (H)
di       | 递  | Pass                           → Hand                           (H)
di       | 的  | Possessive                     → It                             (I)
di       | 笛  | Pipe                           → Qin                            (Q)
di       | 滴  | Drop                           → One                            (O)
di       | 狄  | Di (ethnic)                    → Kangniedigezhou                (K)
di       | 堤  | Dyke                           → On                             (O)
di       | 蒂  | Stem                           → Haidi                          (H)
di       | 邸  | Mansion                        → Official                       (O)
di       | 涤  | Wash                           → Cleanse                        (C)
dian     | 电  | Lightning                      → AC                             (A)
dian     | 淀  | Lake                           → Amylase                        (A)
dian     | 店  | Shop                           → Old                            (O)
dian     | 典  | Classic                        → Rhyme                          (R)
dian     | 甸  | Countryside                    → Eden                           (E)
dian     | 奠  | Commemorate                    → Founder                        (F)
dian     | 颠  | Top                            → Great                          (G)
dian     | 垫  | Pad                            → Be                             (B)
dian     | 惦  | Miss                           → Remembering                    (R)
dian     | 癫  | Mad                            → Epilepsy                       (E)
die      | 爹  | Dad                            → My                             (M)
ding     | 顶  | Top                            → On                             (O)
ding     | 鼎  | Tripod                         → Xuding                         (X)
ding     | 丁  | Adult                          → Mr.                            (M)
ding     | 仃  | Alone                          → Lonely                         (L)
ding     | 订  | Book                           → Sign                           (S)
ding     | 叮  | Bite                           → Urge                           (U)
dou      | 抖  | Shake                          → Yi                             (Y)
dou      | 陡  | Steep                          → Douling                        (D)
dou      | 豆  | Pea                            → Red                            (R)
dou      | 痘  | Pimple                         → Doushen                        (D)
dou      | 逗  | Tease                          → Lead                           (L)
dou      | 兜  | Carry                          → Dou                            (D)
dou      | 窦  | Cave                           → Li                             (L)
du       | 度  | Measure                        → Fa                             (F)
du       | 督  | Monitor                        → To                             (T)
du       | 嘟  | Mumble                         → To                             (T)
du       | 独  | Alone                          → To                             (T)
du       | 都  | All                            → It                             (I)
du       | 读  | Read                           → To                             (T)
du       | 渎  | River                          → Yandu                          (Y)
du       | 杜  | Cypress                        → Xiao                           (X)
du       | 渡  | Cross                          → To                             (T)
du       | 镀  | Coat                           → Nickel                         (N)
du       | 肚  | Belly                          → Yu                             (Y)
